facility_name,address,city,state,zip,county,lat,long,fractracker_status,purpose,operator_name,tenant,mw_capacity,size_rank,power_source,dedicated_power_plant,number_of_generators,number_of_buildings,cooling_source,cooling_type,facility_size_sqft,property_size_acres,project_cost,expected_date_online,community_pushback,advocacy_information,resistance_status,nda,echo_registry_id,echo_facility_name,echo_facility_street,echo_facility_city,echo_facility_state,echo_naics_codes,echo_sic_codes,AIR_FLAG,NPDES_FLAG,RCRA_FLAG,SDWIS_FLAG,GHG_FLAG,CAA_PERMIT_TYPES,CWA_PERMIT_TYPES,RCRA_PERMIT_TYPES,FAC_ACTIVE_FLAG,FAC_MAJOR_FLAG,echo_distance_miles,match_score,match_name_score,match_addr_score,match_naics_hit,match_sic_hit,matched_naics,matched_sic,echo_dfr_url,match_confidence,n_air_programs,earliest_air_program_begin,latest_air_program_begin,air_program_codes,air_operating_statuses,n_water_permits,earliest_water_orig_issue,earliest_water_issue,latest_water_issue,latest_water_expiration,latest_water_termination,water_permit_types,water_permit_statuses,water_permit_numbers,earliest_known_permit_date,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types
Aligned,2500 W Union Hills Dr,Phoenix,AZ,85027,Maricopa,33.65898,-112.111,Operating,,,,180,Hyperscale (100-999 MW),,,,,,,"550,000",,,,Unknown,,,,110070507328,PHX01 / PHX02 / PHX03 / PHX05,2500 UNION HILLS DR,PHOENIX,AZ,518210,7374,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.2982004849981722,1.35,0.0,1.0,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110070507328,medium,4,2018-05-31,2019-01-02,CAANSPS|CAAFESOP|CAAOTH|CAANSPSM,Operating|Permanently Closed,1,2021-02-22,2021-02-22,2021-02-22,2025-06-30,2022-06-13,GPC,TRM,AZCN88005,2018-05-31,5,2017,2022-10-12,construction_started|fully_operational|land_purchased|project_announced
Data center: Davis-Monthan Air Force Base,,Tucson,AZ,85707,Pima,32.164318,-110.86484,Proposed,,,,,Unknown,,May use jet engines from retired military planes,,,,,,300,,,Unknown,,,,110070737495,DAVIS-MONTHAN AFB,3775 S 5TH ST,DAVIS MONTHAN AFB,AZ,622110 493190 488190 531120 928120 221121,,Y,Y,N,N,N,No Classification In ICIS,Non-M,,Y,,1.3106632842506982,1.006,0.756,0.0,true,false,531120,,http://echo.epa.gov/detailed-facility-report?fid=110070737495,low,6,2005-01-01,2025-09-05,CAAFESOP,Operating,2,2023-03-13,2023-03-13,2025-08-29,2030-08-28,,GPC,ADC|EFF,AZC111830|AZCN98071,2005-01-01,4,2025-03,2026-01-26,other|project_announced
Buena Vista Biomass Power site Data Center,4655 Coal Mine Rd,Ione,CA,95640,Amador,38.277733,-120.91554,Proposed,AI,,,41,Medium (11-50 MW),Biomass,,,,,,,,,,Unknown,,,,110055664972,BUENA VISTA BIOMASS POWER LLC,4655 COAL MINE RD,IONE,CA,221117,4911,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.10984837236813008,1.35,1.0,1.0,true,true,221117,4911,http://echo.epa.gov/detailed-facility-report?fid=110055664972,high,2,2014-10-19,2014-10-19,CAANSPS|CAASIP,Temporarily Closed,1,2015-07-01,2015-07-01,2015-07-01,2020-06-30,,GPC,EXP,CAZ402206,2014-10-19,4,2025,2026-02,land_purchased|other|power_purchase_agreement_signed|project_announced
CoreSite DE3 Data Center,4900 Race St,Elyria-Swansea (Denver),CO,80216,Denver,39.785824,-104.962845,Approved/Permitted/Under construction,,CoreSite,,75,Large (51-99 MW),,,,,,,"180,000",,,2026,Unknown,,,,110071782121,CORESITE REAL ESTATE DE3 - CORESITE DE3,4900 N RACE STREET,DENVER,CO,518210,7389,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.0151918089652364,1.25,0.49,1.0,true,false,518210,,http://echo.epa.gov/detailed-facility-report?fid=110071782121,high,2,2025-12-04,2026-01-22,CAASIP|CAANSPS,Operating,1,2024-04-16,2024-04-16,2024-04-16,2029-03-31,,GPC,EFF,COR423465,2024-04-16,3,2025,2026,construction_started|other|site_plan_approved
NE Edge Data Center,adjacent to Millstone Nuclear Power Station,Waterford,CT,06385,New London,41.31387,-72.1673,Proposed,,,,1500,"Mega campus (>1,000 MW)",,,,,,,"1,500,000",25,,,Unknown,,,,110017301070,DOMINION MILLSTONE NUCLEAR POWER STATION,MILLSTONE ACCESS RD (OFF ROPE FERRY RD),WATERFORD,CT,221113,4911,Y,Y,Y,N,N,Synthetic Minor Emissions,Major,LQG,Y,Y,0.4307897529643291,0.532,0.213,0.432,false,true,,4911,http://echo.epa.gov/detailed-facility-report?fid=110017301070,low,5,2014-10-19,2020-11-08,CAATVP|CAASIP|CAAFESOP|CAANSPSM|CAAGACTM,Operating|Permanently Closed,2,1974-12-30,1992-12-14,2010-09-01,2015-08-31,,NPD,ADC,CT0003263,1974-12-30,1,2023-02,2023-02,other
Atlanta Metro DC4,1103 Herndon Street,Atlanta,GA,30318,Fulton,33.784534,-84.42251,Operating,,QTS Data Centers,,,Unknown,,,,,,,,,,,Unknown,,,,110045411871,MEADWESTVACO PACKING SYSTEMS,1105 HERNDON ST NW,ATLANTA,GA,322212 322130,2657 2631 2651 2679,Y,Y,Y,N,N,Major Emissions,Non-M,Other,,Y,0.9618330876302924,0.917,0.267,0.917,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110045411871,low,3,2008-09-18,2017-10-12,CAAFIP|CAASIP|CAATVP,Permanently Closed,2,2012-06-01,2012-06-01,2017-06-01,2022-05-31,2019-01-15,GPC,ADC|TRM,GAIS00237,2008-09-18,2,<UNKNOWN>,<UNKNOWN>,fully_operational|other
EdgeConneX,Stonewall Tell Rd,Atlanta,GA,30349,Fulton,33.635,-84.5819,Proposed,,,,324,Hyperscale (100-999 MW),,,,,,,,,,,Unknown,,,,110071821914,ATL11,4850 STONEWALL TELL RD,ATLANTA,GA,236210 518210,7374 1541,Y,Y,N,N,N,Synthetic Minor Emissions,Non-M,,Y,,1.452709367848057,1.198,0.0,0.848,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110071821914,low,3,2024-05-13,2024-10-03,CAAGACTM|CAANSPS|CAASIP,Planned Facility,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EFF,GAR18AFDF,2018-08-01,2,2024-07,2024-11-04,other|state_environmental_review_initiated
Microsoft: Project Fulton,Ben Hill Rd,Atlanta,GA,30349,Fulton,33.64121,-84.5167,Proposed,,Microsoft,,,Unknown,,,,,,,"250,000",125,$30 million,,Unknown,,,,110071309972,ATL06 DATA CENTER,4165 BEN HILL ROAD,ATLANTA,GA,541513 236210,1541 7376,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.1324193948280093,1.012,0.222,0.762,true,false,541513,,http://echo.epa.gov/detailed-facility-report?fid=110071309972,medium,3,2025-06-24,2025-12-11,CAAGACTM|CAASIP|CAANSPS,Operating,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EXP|EFF,GAR189BB9,2018-08-01,3,2021,2021-04,land_purchased|other|project_announced
Stonewall Tell Data Center,South of South Fulton Parkway and east of Stonewall Tell Road,Atlanta,GA,30349,Fulton,33.615124,-84.55222,Proposed,,RSC Investment Management LLC,,,Unknown,,,,,,,"1,902,000",,,,Unknown,,,,110071821914,ATL11,4850 STONEWALL TELL RD,ATLANTA,GA,236210 518210,7374 1541,Y,Y,N,N,N,Synthetic Minor Emissions,Non-M,,Y,,0.790549458457668,0.95,0.255,0.6,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110071821914,low,3,2024-05-13,2024-10-03,CAAGACTM|CAASIP|CAANSPS,Planned Facility,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EFF,GAR18AFDF,2018-08-01,0,,,""
Vantage: Stacks Rd project,5531 Mallory Rd,Atlanta,GA,30349,Fulton,33.60657,-84.5304,Proposed,,,,,Unknown,,,,,,,"696,980",,,,Unknown,,,,110071883592,VANTAGE DATA CENTERS GA 11,4380 STACK ROAD,ATLANTA,GA,236210 518210,1541 7374,Y,Y,N,N,N,Synthetic Minor Emissions,Non-M,,Y,,0.18917041041795904,0.955,0.605,0.273,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110071883592,high,3,2024-08-12,2025-05-16,CAAMACT|CAASIP|CAANSPS,Planned Facility,1,2023-08-01,2023-08-01,2023-08-01,2028-07-31,,GPC,EFF,GAR18BC6A,2023-08-01,3,2024-08,2027-01,other|project_announced
