project_facility_name,project_city,project_state,project_county,project_lat,project_long,project_status,project_mw,project_operator,event_type,event_subtype,decision,actor,actor_level,date,date_precision,source_url,source_quote
0 Rocky Creek (Red Wolf DCD),Hampton,GA,Henry,33.40101,-84.2243,Proposed,,,project_announced,,n_a,"Red Wolf DCD Properties, LLC / Swearingen Consulting",developer,2024-05-08,day,https://www.datacenterdynamics.com/en/news/125-million-sq-ft-data-center-proposed-outside-atlanta-georgia,"A large data center campus is being proposed outside Atlanta, Georgia... known as 0 Rocky Creek."
0 Rocky Creek (Red Wolf DCD),Hampton,GA,Henry,33.40101,-84.2243,Proposed,,,state_environmental_review_initiated,Development of Regional Impact (DRI) application filed with Georgia DCA,filed,Georgia Department of Community Affairs,state,2024-05-08,day,https://www.datacenterdynamics.com/en/news/125-million-sq-ft-data-center-proposed-outside-atlanta-georgia,Swearingen Consulting has submitted a development of regional impact application with the Georgia Department of Community Affairs for a data center project known as 0 Rocky Creek.
0 Rocky Creek (Red Wolf DCD),Hampton,GA,Henry,33.40101,-84.2243,Proposed,,,fully_operational,Projected launch year,planned,"Red Wolf DCD Properties, LLC",developer,2028,year,other_info,launch 2028
108 CARPENTER DRIVE,STERLING,VA,Loudoun,38.99123,-77.42243,Proposed,,,site_plan_applied,,filed,Loudoun County Department of Building and Development,local,<UNKNOWN>,year,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/c649938c-a42c-43c1-af23-ac3e7ece8a37?tab=locations,SelfService Public Site ... Welcome to portal home
10 Forsyth St NW,Atlanta,GA,Fulton,33.755455,-84.39201,Proposed,45,Digital Realty,project_announced,,n_a,Digital Realty,developer,2022-06-16,day,https://www.datacenterdynamics.com/en/news/digital-realty-plans-10-story-300000-sq-ft-data-center-in-atlanta/,"Digital Realty is planning a fourth data center in Atlanta, Georgia... Located at 10 Forsyth Street NW, the company aims to develop a new 10-story facility"
10 Forsyth St NW,Atlanta,GA,Fulton,33.755455,-84.39201,Proposed,45,Digital Realty,building_permit_applied,,filed,Digital Realty,developer,2022-06,month,https://www.datacenterdynamics.com/en/news/digital-realty-plans-10-story-300000-sq-ft-data-center-in-atlanta/,Digital Realty has filed an application with the City of Atlanta to build a new data center adjacent to its 56 Marietta Street facility.
10 Forsyth St NW,Atlanta,GA,Fulton,33.755455,-84.39201,Proposed,45,Digital Realty,public_hearing_held,"Scheduled permit hearing, early August 2022",planned,City of Atlanta,local,2022-08,month,https://www.datacenterdynamics.com/en/news/digital-realty-plans-10-story-300000-sq-ft-data-center-in-atlanta/,"The hearing for Digital Realty's proposal is scheduled for early August, according to the permit."
113 EXECUTIVE DR Prologis,Sterling,VA,Loudoun,38.99067,-77.44434,Proposed,,Prologis,rezoning_applied,Rezoning application filed with Loudoun County for 113 and 22660 Executive Drive parcels,filed,Prologis,developer,2023-10,month,https://www.datacenterdynamics.com/en/news/prologis-seeks-rezoning-of-land-sterling-virginia-possibly-for-data-centers/,BizJournal reports the logistics real estate investment trust has filed two early-stage development applications with Loudoun County to rezone two parcels of land
113 EXECUTIVE DR Prologis,Sterling,VA,Loudoun,38.99067,-77.44434,Proposed,,Prologis,project_announced,,n_a,Prologis,developer,2023-10-26,day,https://www.datacenterdynamics.com/en/news/prologis-seeks-rezoning-of-land-sterling-virginia-possibly-for-data-centers/,"Prologis seeks rezoning of land Sterling, Virginia, possibly for data centers … October 26, 2023"
1304 SQUIRE CT,Sterling,VA,Loudoun,39.02153,-77.43476,Operating,,ELECTRIC BUILDING LLC,fully_operational,Facility listed as operating (labeled 'Storage Warehouse'),n_a,Electric Building LLC,developer,2024,year,other_info,"Shown as ""Storage Warehouse""; FracTracker label: Operating"
