facility_name,city,state,county,lat,long,status,mw,operator_name,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary
Project Marvel,Bessemer,AL,Jefferson,33.342,-87.0341,Proposed,1200,Logistic Land Investments LLC,7,2025,2026-02,court_ruling|lawsuit_filed|rezoning_applied|rezoning_council_decision|rezoning_planning_commission_recommendation,2025(year): rezoning_applied=filed by Logistic Land Investments LLC; 2025-04-14(day): lawsuit_filed=filed by Bessemer residents; 2025-04-14(day): court_ruling=granted by Court; 2025-04-23(day): court_ruling=vacated by Court; 2025-11-18(day): rezoning_council_decision=approved by Bessemer City Council; 2026-01(month): rezoning_applied=filed by Logistic Land Investments LLC; 2026-02(month): rezoning_planning_commission_recommendation=in_progress by Bessemer Planning and Zoning Commission
DC Blox,Birmingham,AL,Jefferson,33.50051,-86.821,Operating,,,0,,,,
Google Data Center,Bridgeport,AL,Jackson,34.92019,-85.7446,Operating,,Google,3,2015-06,2018-04,construction_started|other|project_announced,2015-06(month): project_announced=n_a by Google; 2018-04(month): construction_started=n_a by Google; 2018-04(month): other=n_a by Tennessee Valley Authority (TVA)
Western Hospitality Partners Data Center,Childersburg,AL,Talladega,33.340885,-86.336205,Proposed,500,,1,2025,2025,project_announced,2025(year): project_announced=planned by Western Hospitality Partners
DC Blox,Huntsville,AL,Madison,34.71003,-86.693,Operating,,,0,,,,
Meta Data Center,Huntsville,AL,Madison,34.84065,-86.6295,Operating,,Meta,3,2024-05,2026,construction_started|fully_operational|project_announced,2024-05(month): project_announced=n_a by Meta; 2024-05(month): construction_started=in_progress by Meta; 2026(year): fully_operational=planned by Meta
Meta Data Center,Montgomery,AL,Montgomery,32.27604,-86.3287,Approved/Permitted/Under construction,100-200,Meta,3,2024-05,2026,construction_started|fully_operational|project_announced,2024-05(month): project_announced=n_a by Meta; 2024-05(month): construction_started=in_progress by Meta; 2026(year): fully_operational=planned by Meta
Clarksville Data Center,Clarksville,AR,Johnson,35.454384,-93.44725,Proposed,,Serverfarm,4,2025,2025-11-27,land_purchased|project_announced|site_plan_applied|site_plan_approved,2025(year): land_purchased=n_a by Serverfarm / SF ARK1 LLC; 2025-11(month): site_plan_applied=filed by Serverfarm; 2025-11(month): site_plan_approved=approved by Clarksville Planning and Zoning Commission; 2025-11-27(day): project_announced=n_a by Serverfarm
Data center,Harrison,AR,Boone,36.21472,-93.0786,Operating,,Windstream,1,<UNKNOWN>,<UNKNOWN>,fully_operational,<UNKNOWN>(year): fully_operational=n_a by Windstream
Avaio Digital Leo,Little Rock,AR,Pulaski,34.618,-92.26808,Proposed,"150-1,000",Avaio Digital,5,2026,2027-06,construction_started|fully_operational|other|power_purchase_agreement_signed|project_announced,2026(year): construction_started=planned by Avaio Digital Partners; 2026-01(month): power_purchase_agreement_signed=approved by Entergy Arkansas; 2026-01(month): other=n_a by Avaio Digital Partners; 2026-01-12(day): project_announced=n_a by Avaio Digital Partners; 2027-06(month): fully_operational=planned by Avaio Digital Partners
