facility_name,address,city,state,zip,county,lat,long,fractracker_status,purpose,operator_name,tenant,mw_capacity,size_rank,power_source,dedicated_power_plant,number_of_generators,number_of_buildings,cooling_source,cooling_type,facility_size_sqft,property_size_acres,project_cost,expected_date_online,community_pushback,advocacy_information,resistance_status,nda,echo_registry_id,echo_facility_name,echo_facility_street,echo_facility_city,echo_facility_state,echo_naics_codes,echo_sic_codes,AIR_FLAG,NPDES_FLAG,RCRA_FLAG,SDWIS_FLAG,GHG_FLAG,CAA_PERMIT_TYPES,CWA_PERMIT_TYPES,RCRA_PERMIT_TYPES,FAC_ACTIVE_FLAG,FAC_MAJOR_FLAG,echo_distance_miles,match_score,match_name_score,match_addr_score,match_naics_hit,match_sic_hit,matched_naics,matched_sic,echo_dfr_url,match_confidence,n_air_programs,earliest_air_program_begin,latest_air_program_begin,air_program_codes,air_operating_statuses,n_water_permits,earliest_water_orig_issue,earliest_water_issue,latest_water_issue,latest_water_expiration,latest_water_termination,water_permit_types,water_permit_statuses,water_permit_numbers,earliest_known_permit_date,n_llm_events,earliest_llm_event_date,latest_llm_event_date,llm_event_types,timeline_summary,mw_low,mw_high,mw_numeric_mid,process_start_date,process_start_event_type,first_approval_date,first_approval_event_type,first_approval_actor_level,days_to_first_approval,months_to_first_approval,last_event_date,total_observed_days,is_approved,is_terminated,terminal_outcome,is_censored
Aligned,2500 W Union Hills Dr,Phoenix,AZ,85027,Maricopa,33.65898,-112.111,Operating,,,,180,Hyperscale (100-999 MW),,,,,,,"550,000",,,,Unknown,,,,110070507328,PHX01 / PHX02 / PHX03 / PHX05,2500 UNION HILLS DR,PHOENIX,AZ,518210,7374,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.2982004849981722,1.35,0.0,1.0,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110070507328,medium,4,2018-05-31,2019-01-02,CAANSPS|CAAFESOP|CAAOTH|CAANSPSM,Operating|Permanently Closed,1,2021-02-22,2021-02-22,2021-02-22,2025-06-30,2022-06-13,GPC,TRM,AZCN88005,2018-05-31,5,2017,2022-10-12,construction_started|fully_operational|land_purchased|project_announced,2017(year): fully_operational=n_a by Aligned Data Centers; 2018(year): construction_started=n_a by Aligned Data Centers; 2022-03(month): project_announced=planned by Aligned Data Centers; 2022-10(month): land_purchased=n_a by Aligned Data Centers; 2022-10-12(day): project_announced=planned by Aligned Data Centers,180.0,180.0,180.0,2017-01-01,fully_operational,,,,,,2022-10-12,2110,False,False,pending,True
Buena Vista Biomass Power site Data Center,4655 Coal Mine Rd,Ione,CA,95640,Amador,38.277733,-120.91554,Proposed,AI,,,41,Medium (11-50 MW),Biomass,,,,,,,,,,Unknown,,,,110055664972,BUENA VISTA BIOMASS POWER LLC,4655 COAL MINE RD,IONE,CA,221117,4911,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.10984837236813008,1.35,1.0,1.0,true,true,221117,4911,http://echo.epa.gov/detailed-facility-report?fid=110055664972,high,2,2014-10-19,2014-10-19,CAANSPS|CAASIP,Temporarily Closed,1,2015-07-01,2015-07-01,2015-07-01,2020-06-30,,GPC,EXP,CAZ402206,2014-10-19,4,2025,2026-02,land_purchased|other|power_purchase_agreement_signed|project_announced,2025(year): power_purchase_agreement_signed=approved by NewYork GreenCloud / Atlas Cloud AI; 2026-01-19(day): land_purchased=approved by NewYork GreenCloud; 2026-01-19(day): project_announced=n_a by NewYork GreenCloud; 2026-02(month): other=planned by NewYork GreenCloud,41.0,41.0,41.0,2025-01-01,power_purchase_agreement_signed,2025-01-01,power_purchase_agreement_signed,developer,0,0.0,2026-02-01,396,True,False,approved,False
CoreSite DE3 Data Center,4900 Race St,Elyria-Swansea (Denver),CO,80216,Denver,39.785824,-104.962845,Approved/Permitted/Under construction,,CoreSite,,75,Large (51-99 MW),,,,,,,"180,000",,,2026,Unknown,,,,110071782121,CORESITE REAL ESTATE DE3 - CORESITE DE3,4900 N RACE STREET,DENVER,CO,518210,7389,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.0151918089652364,1.25,0.49,1.0,true,false,518210,,http://echo.epa.gov/detailed-facility-report?fid=110071782121,high,2,2025-12-04,2026-01-22,CAASIP|CAANSPS,Operating,1,2024-04-16,2024-04-16,2024-04-16,2029-03-31,,GPC,EFF,COR423465,2024-04-16,3,2025,2026,construction_started|other|site_plan_approved,2025(year): construction_started=in_progress by CoreSite; 2025-03(month): site_plan_approved=approved by Denver Community Planning and Development; 2026(year): other=planned by CoreSite,75.0,75.0,75.0,2025-01-01,construction_started,2025-03-01,site_plan_approved,local,59,1.9,2026-01-01,365,True,False,approved,False
NE Edge Data Center,adjacent to Millstone Nuclear Power Station,Waterford,CT,06385,New London,41.31387,-72.1673,Proposed,,,,1500,"Mega campus (>1,000 MW)",,,,,,,"1,500,000",25,,,Unknown,,,,110017301070,DOMINION MILLSTONE NUCLEAR POWER STATION,MILLSTONE ACCESS RD (OFF ROPE FERRY RD),WATERFORD,CT,221113,4911,Y,Y,Y,N,N,Synthetic Minor Emissions,Major,LQG,Y,Y,0.4307897529643291,0.532,0.213,0.432,false,true,,4911,http://echo.epa.gov/detailed-facility-report?fid=110017301070,low,5,2014-10-19,2020-11-08,CAATVP|CAASIP|CAAFESOP|CAANSPSM|CAAGACTM,Operating|Permanently Closed,2,1974-12-30,1992-12-14,2010-09-01,2015-08-31,,NPD,ADC,CT0003263,1974-12-30,1,2023-02,2023-02,other,2023-02(month): other=filed by NE Edge,1500.0,1500.0,1500.0,2023-02-01,other,,,,,,2023-02-01,0,False,False,pending,True
EdgeConneX,Stonewall Tell Rd,Atlanta,GA,30349,Fulton,33.635,-84.5819,Proposed,,,,324,Hyperscale (100-999 MW),,,,,,,,,,,Unknown,,,,110071821914,ATL11,4850 STONEWALL TELL RD,ATLANTA,GA,236210 518210,7374 1541,Y,Y,N,N,N,Synthetic Minor Emissions,Non-M,,Y,,1.452709367848057,1.198,0.0,0.848,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110071821914,low,3,2024-05-13,2024-10-03,CAAGACTM|CAANSPS|CAASIP,Planned Facility,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EFF,GAR18AFDF,2018-08-01,2,2024-07,2024-11-04,other|state_environmental_review_initiated,2024-07(month): other=n_a by TA Realty / EdgeConneX; 2024-11-04(day): state_environmental_review_initiated=filed by TA Realty,324.0,324.0,324.0,2024-07-01,other,,,,,,2024-11-04,126,False,False,pending,True
Union City (ATL11),4810 Stonewall Tell Rd,College Park,GA,30349,Fulton,33.62499,-84.56204,Approved/Permitted/Under construction,,Microsoft,,324,Hyperscale (100-999 MW),,,,,,,"2,100,000",,,,Unknown,,,,110071821914,ATL11,4850 STONEWALL TELL RD,ATLANTA,GA,236210 518210,7374 1541,Y,Y,N,N,N,Synthetic Minor Emissions,Non-M,,Y,,0.1221478765858652,1.297,0.476,0.947,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110071821914,high,3,2024-05-13,2024-10-03,CAANSPS|CAAGACTM|CAASIP,Planned Facility,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EFF,GAR18AFDF,2018-08-01,9,2024-07-15,2026,construction_started|other|project_announced|state_environmental_review_decision|state_environmental_review_initiated,"2024-07-15(day): state_environmental_review_initiated=filed by Georgia Department of Community Affairs; 2024-07-16(day): project_announced=n_a by Burr Computer Environments, Inc.; 2024-07-16(day): other=n_a by Microsoft; 2024-07-16(day): other=n_a by Burr Computer Environments, Inc.; 2024-09-17(day): other=filed by Burr Computer Environments, Inc.; 2024-09-26(day): other=in_progress by Georgia Department of Community Affairs; 2024-10-23(day): state_environmental_review_decision=in_progress by Georgia Department of Community Affairs / Atlanta Regional Commission; 2024-11-22(day): other=approved by Georgia Department of Community Affairs; 2026(year): construction_started=planned by Burr Computer Environments, Inc.",324.0,324.0,324.0,2024-07-15,state_environmental_review_initiated,2024-11-22,other,state,130,4.3,2026-01-01,535,True,False,approved,False
East Point Campus,4165 Ben Hill Road,East Point,GA,30349,Fulton,33.642456,-84.514824,Operating,,Microsoft,,37.5,Medium (11-50 MW),,,,,,,"250,000",,,,Unknown,,,,110071309972,ATL06 DATA CENTER,4165 BEN HILL ROAD,ATLANTA,GA,541513 236210,1541 7376,Y,Y,N,N,N,80% Synthetic Minor Emissions,Non-M,,Y,,0.010971991665357965,1.25,0.267,1.0,true,false,541513,,http://echo.epa.gov/detailed-facility-report?fid=110071309972,medium,3,2025-06-24,2025-12-11,CAAGACTM|CAASIP|CAANSPS,Operating,2,2018-08-01,2018-08-01,2023-08-01,2028-07-31,,GPC,EXP|EFF,GAR189BB9,2018-08-01,3,2023,2026,construction_started|other|project_announced,2023(year): project_announced=n_a by Microsoft; 2023(year): construction_started=n_a by Microsoft; 2026(year): other=planned by Microsoft,37.5,37.5,37.5,2023-01-01,project_announced,,,,,,2026-01-01,1096,False,False,pending,True
Stream Data Center: Chicago 1,2080 Lunt Ave,Elk Grove Village,IL,60007,Cook,42.00269,-87.9518,Operating,,,,15,Medium (11-50 MW),,,,,,,"126,689",,,,Unknown,,,,110070684456,STREAM DATA CENTERS,2080 LUNT AVE,ELK GROVE VILLAGE,IL,518210,7374,Y,Y,N,N,N,Minor Emissions,Non-M,,Y,,0.03647975293302781,1.35,0.457,1.0,true,true,518210,7374,http://echo.epa.gov/detailed-facility-report?fid=110070684456,high,3,2020-09-29,2020-09-29,CAAMACT|CAASIP|CAANSPS,Operating,1,2023-09-25,2023-09-25,2023-09-25,2028-08-31,,GPC,EFF,ILR10ZD95,2020-09-29,2,2017-12,2020,fully_operational|land_purchased,2017-12(month): land_purchased=n_a by Stream Data Centers; 2020(year): fully_operational=n_a by Stream Data Centers,15.0,15.0,15.0,2017-12-01,land_purchased,,,,,,2020-01-01,761,False,False,pending,True
Anthropic (speculative),Early and Walnut Rds,New Carlisle,IN,46552,St. Joseph,41.68848,-86.4736,Operating,AI,Amazon,,2200,"Mega campus (>1,000 MW)",,,,30,Air,,,1200,,,Unknown,,,,110056404298,ST. JOSEPH ENERGY CENTER LLC,54745 WALNUT ROAD,NEW CARLISLE,IN,221112,4911 4922,Y,Y,Y,N,Y,Major Emissions,"Major, Non-M",VSQG,Y,Y,0.6016031719815778,0.787,0.174,0.438,true,true,221112,4911,http://echo.epa.gov/detailed-facility-report?fid=110056404298,low,3,2022-05-28,2026-04-13,CAAMACT|CAATVP|CAANSPS,Operating,6,2013-11-08,2013-11-08,2025-03-07,2030-03-31,2020-11-18,GPC|NPD,EFF|TRM|ADC,INR10L213|INR10M476|IN0064122|ING670099,2013-11-08,10,2023,2025-12,construction_started|fully_operational|land_purchased|other|project_announced|project_cancelled|public_hearing_held|rezoning_applied|state_environmental_review_initiated,2023(year): land_purchased=n_a by Amazon (via shell company Razor5); 2023(year): project_announced=n_a by Amazon Web Services (AWS); 2023(year): other=approved by Indiana Economic Development Corporation (IEDC); 2024(year): state_environmental_review_initiated=in_progress by State / environmental review authority; 2024(year): construction_started=n_a by Amazon Web Services (AWS); 2025(year): fully_operational=n_a by Amazon Web Services (AWS); 2025(year): other=n_a by Amazon Web Services (AWS) / Anthropic; 2025-05-13(day): rezoning_applied=filed by St. Joseph County Council; 2025-05-13(day): public_hearing_held=n_a by St. Joseph County Council; 2025-12(month): project_cancelled=withdrawn by St. Joseph County Council,2200.0,2200.0,2200.0,2023-01-01,land_purchased,2023-01-01,other,state,0,0.0,2025-12-01,1065,True,True,withdrawn,False
Tidepoint,"1050 Hull Street, Suite 150",Baltimore,MD,21230,Baltimore,39.27421,-76.5911,Operating,,,,1.5,Small (0-10 MW),,,,,,,"23,000",,,,Unknown,,,,110001767589,TIDE POINT,1422 NICHOLSON STREET,BALTIMORE,MD,325611,2841,Y,Y,Y,N,N,Major Emissions,Non-M,VSQG,Y,Y,0.021522324720585115,0.947,0.947,0.303,false,false,,,http://echo.epa.gov/detailed-facility-report?fid=110001767589,medium,1,2014-10-19,2014-10-19,CAASIP,Permanently Closed,1,1975-03-03,1989-05-22,1989-05-22,1994-05-22,1995-09-29,NPD,TRM,MD0001465,1975-03-03,1,2025,2025,fully_operational,2025(year): fully_operational=n_a by Expedient,1.5,1.5,1.5,2025-01-01,fully_operational,,,,,,2025-01-01,0,False,False,pending,True
