feature,gain
grid_nuclear_pct,28.01321792602539
co2_intensity_lb_per_mwh,6.9125237464904785
pollution_cost_per_mw,5.202456951141357
nearest_echo_dc_naics_within_1mi,4.741415977478027
mw_quality_flag,4.438077926635742
local_operating_count_25mi,4.423574447631836
grid_coal_pct,4.3132781982421875
mw_numeric_mid,4.271548748016357
local_approval_rate_25mi,4.212554454803467
egrid_RFCW,3.9942307472229004
nearest_echo_distance_miles,3.8258049488067627
log_mw,3.796165943145752
log_pollution_cost,3.7921934127807617
iso_PJM,3.33988881111145
local_proposed_count_25mi,3.306344509124756
local_dc_count_25mi,3.301739454269409
lon,3.202991247177124
lat,3.150070905685425
local_cancelled_count_25mi,3.089545488357544
grid_gas_pct,3.0008349418640137
iso_ERCOT,2.8238143920898438
pollution_x_local_cancelled,2.802746534347534
mw_x_is_PJM,2.783550977706909
egrid_Other,2.4049324989318848
egrid_RFCE,1.66748046875
iso_NonISO_SE,1.4974522590637207
